Sample,X,Y,Z
328,0.020,0.016,1.027
329,0.016,-0.012,1.023
330,0.023,-0.031,0.977
331,0.023,-0.008,0.922
332,0.031,0.016,0.977
333,0.008,0.035,1.016
334,0.039,0.000,1.070
335,0.023,-0.004,0.977
336,0.031,-0.008,0.953
337,-0.008,-0.016,0.945
338,0.004,-0.039,0.980
339,0.020,-0.020,1.035
340,0.027,0.008,0.996
341,0.016,0.023,0.988
342,0.008,-0.004,0.992
343,0.012,-0.004,0.996
344,0.000,0.008,0.980
345,0.008,0.012,0.973
346,0.008,0.008,0.949
347,0.008,-0.004,0.980
348,-0.004,-0.039,0.984
349,0.008,-0.051,0.961
350,0.012,-0.004,0.953
351,0.031,0.016,0.984
352,0.027,0.004,1.016
353,0.023,0.004,1.016
354,0.023,0.016,0.973
355,0.035,-0.004,0.996
356,0.027,0.004,1.000
357,0.031,0.004,1.012
358,0.000,0.004,0.965
359,0.016,-0.027,0.996
360,0.004,-0.035,0.914
361,0.004,-0.031,0.984
362,0.012,0.000,0.984
363,0.031,0.016,0.984
364,0.012,0.020,0.992
365,0.035,0.008,1.004
366,0.027,0.000,1.008
367,0.008,-0.012,0.992
368,-0.004,-0.016,0.957
369,-0.004,-0.012,0.957
370,0.016,-0.023,0.969
371,0.031,-0.004,1.020
372,0.012,-0.004,0.992
373,0.000,0.008,0.973
374,0.027,0.012,0.977
375,0.039,0.008,1.012
376,0.039,-0.004,1.027
377,0.020,0.000,1.016
378,0.004,0.004,0.969
379,0.016,-0.012,0.969
380,0.020,-0.027,0.996
381,0.008,-0.027,0.992
382,0.004,0.008,0.992
383,-0.004,0.035,0.977
384,0.027,0.004,0.996
385,0.008,-0.031,0.973
386,0.012,-0.012,0.988
387,0.004,0.016,0.965
388,0.016,0.008,0.992
389,0.008,0.000,1.012
390,0.020,-0.047,0.996
391,0.004,-0.039,0.934
392,0.016,0.027,0.953
393,0.016,0.062,1.012
394,0.027,0.012,1.070
395,0.031,0.000,1.023
396,0.020,-0.012,0.949
397,0.008,-0.020,0.918
398,0.012,-0.004,0.980
399,0.012,-0.012,1.051
400,0.012,-0.031,1.016
401,0.012,-0.020,0.941
402,0.012,0.012,0.914
403,0.008,-0.008,0.984
404,0.020,-0.004,1.043
405,0.027,0.035,1.027
406,0.031,0.055,1.004
407,0.016,0.020,0.953
408,-0.023,-0.039,0.953
409,-0.008,-0.078,0.941
410,0.008,-0.020,0.945
411,0.004,0.023,0.973
412,0.031,0.027,0.984
413,0.027,-0.031,1.023
414,0.020,-0.031,0.973
415,0.039,0.000,0.973
416,0.047,0.059,1.012
